,dist,solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
0,0.00010850881145650506,1.6353784107819336e+18,2.369490541890566e+18,434058497.0,2015.0,12.615931155053827,0.5135143464136623,-17.669214087025235,0.24958004302779596,,,,,,,0.9367,,,,,,,,,,99.0,0.0,99.0,0.0,0.0,0.0,,0.3604699132137771,3.289392531725746,False,1.223582,2.503289,,2.0,15.0,False,0.43524364,0.7017255,0.33067995,0.466965,148.47345,-23.226398,37.1074,-27.812529,99.0,3918.05952900934,12.64442250267681,16.54209248844319,b'NOT_AVAILABLE',121.52012841587572,-80.53829350654142,4.317828049113125,-21.177413628150507
0,0.00039516317560205473,1.6353784107819336e+18,2.4643536563559936e+18,74611850.0,2015.0,26.31914928168252,1.133786571828354,-9.754795899078731,0.15451650606612885,,,,,,,-0.59045,,,,,,,,,,98.0,0.0,96.0,0.0,2.0,0.0,,0.5695459341100231,5.781674569332147,False,1.5085353,1.4706668,,2.0,14.0,False,0.5570765,0.6999175,0.80508935,0.72120917,-150.07819,9.464449,-47.272835,19.25561,96.0,3205.8314502136705,13.089530300217918,16.759918350958653,b'NOT_AVAILABLE',161.63942006830993,-68.47971996824693,20.683338192974443,-19.22409427247603
1,0.001013141758846798,1.6353784107819336e+18,2.464353656357088e+18,92192270.0,2015.0,26.31975301628637,3.763802240009866,-9.754966594082509,0.5285089551684685,,,,,,,-0.50195,,,,,,,,,,94.0,0.0,94.0,0.0,0.0,0.0,,1.7979918345400645,4.903627491414953,False,1.5982484,0.12164555,,2.0,15.0,False,0.549083,0.69352955,0.8013094,0.72045064,-149.29176,9.47322,-47.17913,19.529465,93.0,462.18027710803904,4.537370435473354,18.862741542256636,b'NOT_AVAILABLE',161.64102145931358,-68.4795248253662,20.68385342712127,-19.224477003679844
0,0.00015161572842678137,1.6353784107819336e+18,4.956574748449687e+18,1105639835.0,2015.0,29.672640145293546,0.155572028246558,-43.41768354615732,0.15807724157450448,,,,,,,-0.33515,,,,,,,,,,248.0,0.0,245.0,0.0,3.0,0.0,,0.9210582587247645,10.874059253162692,False,3.6840277,0.55471337,,2.0,33.0,False,0.2956223,0.17653465,0.2118671,0.5447931,-176.68456,40.500137,19.82853,-33.37382,245.0,1589.3632685738091,5.102681659313137,17.521712134059896,b'NOT_AVAILABLE',267.4407753954107,-68.78405383419893,5.116882401443258,-50.68093993843297
1,0.00034272206854126956,1.6353784107819336e+18,4.956574748449687e+18,1051215639.0,2015.0,29.672198633340397,0.35465742034276415,-43.41779422077492,0.4001681761163844,,,,,,,-0.4516,,,,,,,,,,205.0,0.0,202.0,0.0,3.0,0.0,,1.6981912378180068,5.029171832143819,False,6.613406,0.11267003,,2.0,35.0,False,0.20549534,0.4141758,0.16868679,0.4953082,-140.64073,51.478947,1.9278079,-35.723473,203.0,444.78281937655316,3.638067775173083,18.90440005532181,b'NOT_AVAILABLE',267.44161579343825,-68.78420417832173,5.116362928510596,-50.68085777636507
0,3.888465494044555e-05,1.6353784107819336e+18,3.2806905397656154e+17,504938684.0,2015.0,35.27289494994218,7.936643625962217,35.93718330761331,2.656442615681227,,,,,,,-0.7564,,,,,,,,,,51.0,0.0,51.0,0.0,0.0,0.0,,3.497042915418825,1.8156679948449908,False,13.499323,0.02464472,,2.0,20.0,False,0.59934443,0.630406,0.64896667,0.93278193,-146.80199,19.150743,-48.93208,19.765524,154.0,192.44128911353627,1.6691587175344489,19.814024420178843,b'NOT_AVAILABLE',142.6017569836684,-23.486755676598236,45.06117946635439,20.639398931417038
0,0.0003952512928246584,1.6353784107819336e+18,5.126705515510052e+18,673386279.0,2015.0,38.138324924282735,0.6846715943021002,-21.29067692430239,0.7537731739973127,,,,,,,-0.61345,,,,,,,,,,230.0,0.0,228.0,0.0,2.0,0.0,,0.9977342225653366,1.8586841715338105,False,3.9689264,0.1493718,,2.0,29.0,False,0.5753651,0.45763078,0.6920561,0.81798357,126.78304,-70.185005,-14.846443,23.79097,223.0,435.24842578728584,2.1036460307974303,18.927927041266205,b'NOT_AVAILABLE',204.212254781414,-66.26342102377612,27.6232487107588,-34.19587458329201
0,1.518699361311616e-05,1.6353784107819336e+18,5.174409201870689e+18,408051076.0,2015.0,41.64211534458643,0.43334624734086036,-8.42672158103743,0.2754925356818091,,,,,,,-0.57965,,,,,,,,,,68.0,0.0,67.0,0.0,1.0,0.0,,0.8069572365783361,9.73186314607962,False,3.2634542,0.9735334,,2.0,11.0,False,0.3348346,0.5264804,0.36200494,0.87196594,-103.26844,19.589682,-41.407387,27.181631,77.0,3205.27282441147,53.77413299032432,16.760107560253626,b'NOT_AVAILABLE',183.84925688642696,-56.97502913277017,36.38769861455362,-23.322839370610335
0,0.00021235902443744595,1.6353784107819336e+18,3.1780207166380595e+18,982484274.0,2015.0,69.56230478903514,0.4124587357412234,-12.28731437854094,0.6322230028577045,,,,,,,-0.8096,,,,,,,,,,98.0,0.0,98.0,0.0,0.0,0.0,,0.2278260733594525,0.1391085702045895,False,1.3301127,0.38444337,,2.0,29.0,False,0.6533086,0.54846144,0.39643332,0.7544564,-126.136826,44.445953,-25.452023,42.039257,114.0,607.8516468177563,4.948001490057766,18.565276069729823,b'NOT_AVAILABLE',209.06584262140746,-35.06004986550326,65.6923653784197,-34.017951700665904
1,0.0004954237753001012,1.6353784107819336e+18,3.178020716638059e+18,878015144.0,2015.0,69.56160360569265,0.38622028771145184,-12.287481616550917,0.34742452438633903,,,,,,,-0.3027,,,,,,,,,,115.0,0.0,115.0,0.0,0.0,0.0,,1.1238938051270515,2.9994024671824975,False,4.440609,0.19156852,,2.0,31.0,False,0.5024658,0.39520338,0.57353985,0.6374058,-107.592155,30.859983,-22.978123,-41.5477,140.0,495.26870540375927,6.198033722186733,18.787667846245803,b'NOT_AVAILABLE',209.06567903823682,-35.06074227425495,65.69151667503546,-34.018001760536436
0,0.00043537315983595157,1.6353784107819336e+18,4.826116108972089e+18,260237318.0,2015.0,78.54543628488287,1.508368698296043,-33.43952176261534,1.72595595430786,,,,,,,-0.4675,,,,,,,,,,125.0,0.0,124.0,0.0,1.0,0.0,,8.847374610491764,789.4995959715224,False,15.325909,0.012016785,,2.0,17.0,False,0.2668013,0.1508832,0.3706455,0.4535762,-120.908844,50.27407,-12.547309,-23.386963,150.0,1225.0622940550613,14.940641420238459,17.804374631320766,b'NOT_AVAILABLE',236.6287952302775,-33.8524890809916,72.67260830417077,-56.19185497898835
0,0.00015777651505700417,1.6353784107819336e+18,9.259072329005215e+17,841913025.0,2015.0,116.72082329299346,0.652216944780859,44.064364764395165,0.3730217133103621,,,,,,,0.3658,,,,,,,,,,122.0,0.0,122.0,0.0,0.0,0.0,,0.0,0.0,False,1.0,0.11716773,,2.0,17.0,False,0.36847,0.27595,0.28237247,0.59990245,172.30975,-0.6263968,19.984232,-24.534119,120.0,264.9077467660499,2.799041818548442,19.467033417167347,b'NOT_AVAILABLE',175.16679600778275,28.055741379008253,110.47084086032427,22.50570358934252
1,0.00016329504033357208,1.6353784107819336e+18,9.259072329005216e+17,870063905.0,2015.0,116.72118930919886,0.6153595264417243,44.064220169119075,0.3859306737593071,,,,,,,0.2566,,,,,,,,,,138.0,0.0,137.0,0.0,1.0,0.0,,1.4742807371817757,3.0162997747768743,False,5.762824,0.09754387,,2.0,17.0,False,0.39415893,0.239125,0.28581926,0.6111134,-175.6992,8.600818,16.04487,-24.992393,135.0,283.3714431364145,3.0267732155182547,19.39387985902283,b'NOT_AVAILABLE',175.1670170103359,28.05596950515536,110.47115046165902,22.505612648474646
0,3.570036109018504e-05,1.6353784107819336e+18,6.705205403815148e+17,123731127.0,2015.0,121.59877695158788,0.712037455073089,20.108884923238573,0.6580672697144994,,,,,,,-0.7185,,,,,,,,,,113.0,0.0,112.0,0.0,1.0,0.0,,0.0,9.71434029430417e-16,False,1.0,0.16811615,,2.0,17.0,False,0.1505093,0.59488416,0.3548728,0.2557497,-15.333172,25.845097,7.1385317,-30.80163,110.0,358.66686876141694,1.9328596197960706,19.138041910543716,b'NOT_AVAILABLE',202.20740275866245,25.167128225694842,119.47404088943453,-0.15547231311699677
0,0.00011026310856447276,1.6353784107819336e+18,6.82614034415644e+17,1117658119.0,2015.0,123.38030270972483,0.9545696544973505,25.750860488569522,0.6127777020219483,,,,,,,-0.39395,,,,,,,,,,116.0,0.0,114.0,0.0,2.0,0.0,,4.238813223192125,909.1168655669399,False,16.348368,0.054019563,,2.0,14.0,False,0.31982642,0.55350375,0.23269904,0.3955753,-150.89363,25.805803,-27.5888,-43.358166,113.0,6831.758982812524,48.13093792539859,15.938438722580537,b'NOT_AVAILABLE',196.8809567665648,28.62709268492897,119.86931007788141,5.706681699595021
