#	Image	Lens Name	G	zs	zl	RA (J2000)	Dec (J2000)	E(B-V)	ms (mag)	ml (mag)	FGHz (mJy)	Nim	size (")	dt (days)	sigma (km/s)
1		Q0047-2808	A	3.60	0.48	00:49:41.89	-27:52:25.7	0.016	 	I=20.05	 	4ER	2.7	 	229±15
2		HE0047-1756	A	1.66	0.41	00:50:27.83	-17:40:8.8	0.022	I=16.53/2	I=18.97	 	2	1.44	 	 
3		HST01247+0352	C	 	 	01:24:44.4	+03:52:00	0.029	I=24.13/2	I=21.86	 	2	2.20	 	 
4		HST01248+0351	C	 	 	01:24:45.6	+03:51:06	0.029	 	 	 	2	0.74	 	 
5		B0128+437	B	3.124	 	01:31:13.405	+43:58:13.14	0.082	 	 	F5=48	4	0.55	 	 
6		PMNJ0134-0931	A	2.216	0.77	01:34:35.67	-09:31:02.9	0.031	I=18.96/4	I=19.31	F5=529	5R	0.73	 	 
7		Q0142-100	A	2.72	0.49	01:45:16.5	-09:45:17	0.031	I=16.47/2	I=18.72	F5~1	2	2.24	 	 
8		QJ0158-4325	A	1.29	0.317	01:58:41.44	-43:25:04.20	0.015	I=17.39/2	I=18.91	F8<0.2	2	1.22	 	 
9		B0218+357	A	0.96	0.68	02:21:05.483	+35:56:13.78	0.068	I=19.28/2	I=20.06	F5=1209	2ER	0.34	10.5±0.4	 
10		HE0230-2130	A	2.162	0.52	02:32:33.1	-21:17:26	0.022	I=18.00/4	I=20.39	 	4	2.05	 	 
11		SDSS0246-0825	A	1.68	 	02:46:34.11	-08:25:36.2	0.026	I=16.98/2	I=20.82	 	2	1.19	 	 
12		CFRS03.1077	B	2.941	0.938	03:02:30.9	+00:06:02.1	0.098	 	I=20.36	 	2ER	2.1	 	256±19
13		J0332-2756	A	 	0.617	03:32:38.22	-27:56:52.9	0.008	V=-1.95/6	V=20.74	 	2E	3.64	 	 
14		MG0414+0534	A	2.64	0.96	04:14:37.73	+05:34:44.3	0.303	I=19.62/4	I=20.91	F5=977	4E	2.40	 	 
15		HE0435-1223	A	1.689	0.46	04:38:14.9	-12:17:14.4	0.059	i=16.84/4	i=18.05	 	4	2.42	14.4±0.8	 
16		B0445+123	B	 	0.557	04:48:21.99	+12:27:55.41	0.431	I=22.80/2	I=20.60	F5=29	2	1.35	 	 
17		HE0512-3329	A	1.57	(0.93)	05:14:10.78	-33:26:22.50	0.024	I=16.27/2	I=20.85	 	2	0.65	 	 
18		B0631+519	A	 	0.09/0.62	06:35:12.31	+51:57:01.8	0.092	 	 	F8=45	2R	1.16	 	 
19		B0712+472	A	1.34	0.41	07:16:03.58	+47:08:50.0	0.113	I=22.42/4	I=19.56	F5=38	4	1.46	 	 
20		B0739+366	A	 	 	07:42:51.2	+36:34:43.7	0.076	I=25.25/2	I=21.91	F5=25	2	0.53	 	 
21		SDSS0746+4403	A	2.00	 	07:46:53.03	+44:03:51.3	 	I=18.34/2	I=19.62	 	2	1.11	 	 
22		MG0751+2716	A	3.20	0.35	07:51:41.46	+27:16:31.35	0.034	 	I=21.26	F5=202	R	0.7	 	 
23		SDSS0806+2006	A	1.540	0.573	08:06:23.70	+20:06:31.9	0.034	I=17.93/2	I=20.16	 	2	1.40	 	 
24		HS0810+2554	A	1.50	 	08:13:31.3	+25:45:03.2	0.040	I=15.03/4	I=16.63	 	4	0.96	 	 
25		HS0818+1227	A	3.115	0.39	08:21:39.1	+12:17:29	0.031	I=18.54/2	I=19.07	 	2	2.83	 	 
26		APM08279+5255	A	3.87	 	08:31:41.59	+52:45:17.0	0.050	I=14.55/3	 	 	3	0.38	 	 
27		B0850+054	A	1.14/3.93?	0.59	08:52:53.58	+05:15:15.3	0.062	I=23.15/1	I=21.35	F5=68	2E	0.68	 	 
28		SDSS0903+5028	A	3.605	0.388	09:03:34.92	+50:28:19.2	0.025	I=18.51/2	I=19.93	 	2	2.99	 	 
